"Size tables","Tabele rozmiarów"
"Size table","Tabela rozmiarów"
"List","Lista"
"Assign","Przyporządkuj"
"Size tables management","Zarządzaj tabelami rozmiarów"
"New size table","Nowa tabela rozmiarów"
"Creating new size table","Tworzenie nowej tabeli rozmiarów"
"Edit size table","Edycja tabeli rozmiarów"
"Modify size table","Edytowanie tabeli rozmiarów"
"Edit","Edytuj"
"Delete","Usuń"
"Name","Nazwa"
"Actions","Akcje"
"Creating new sizetable","Tworzenie nowej tabeli rozmiarów"
"Editing size table","Edytowanie tabeli rozmiarów"
"Default size table","Domyślna tabela rozmiarów"
"Name","Nazwa"
"Default size table","Domyślna tabela rozmiarów"
"Size table for","Tabela rozmiarów dla"
"english","angielskiego"
"Other size tables","Inne tabele rozmiarów"
"Cancel","Anuluj"
"Save","Zapisz"
"Default values","Wartości domyślne"
