"Save current changes in order to change attribute set","Zapisz aktualne zmiany aby zmienić zestaw cech"
"Save and Continue","Zapisz i kontynuuj edycję"
"of %s","z %s"
"Edit","Edytuj"
"View","Przeglądaj"
"per page.","na stronie."
"Example","Przykład"
"Description","Opis"
"Help","Pomoc"
"Main menu","Nawigacja głowna"
"Left menu","Nawigacja po lewej stronie"
"%s products have been added to the solr queue.","%s produktów zostało dodanych do kolejki solr'a."
"Push to solr queue","Dodaj do kolejki solr'a"
"Customer coupons","Kupony klienta"
"Wishlist","Ulubione"
"1. Loyalty card number","1. Karta lojalnościowa #1"
"2. Loyalty card number","1. Karta lojalnościowa #2"
"3. Loyalty card number","1. Karta lojalnościowa #3"
