"Account password management","Zarządzanie hasłem do konta"
"Password has been saved","Hasło zostało zmienione"
"Change password","Zmień hasło"
"Address", "Adresy"
"Couriers", "Kurierzy"
"Tier Commissions", "Tabela prowizji"
"Associated Products", "Przypisane produkty"
"Return Reasons", "Przyczyny zwrotów"
"GH API Settings", "Ustawienia GH API"
"Send Confirmation Email", "Wysyłka maila potwierdzającego"
"Send Confirmation Email. Password will be sent to vendor in separate email once he click at the link in this confirmation email.", "Wysyłka maila potwierdzającego. Hasło będzie wysłane do sprzedawcy po kliknięciu w link w mailu potwierdzającym"
"Leave empty for no change", "Pozostaw puste przy braku zmian"
"Phone number is required for FedEx label printing", "Telefon sklepu wymagany przez kuriera FedEx"
"New Order Notification Method", "Metoda powiadamiania o nowych zamówieniach"
"* Email notification By Status", "* W zależności od statusu"
"Notify vendor on PO Status", "Powiadom sprzedawcę w statusie PO"
"Shop group", "Grupa sklepów"
"URL key", "Klucz URL"
"Delete Image", "Usuń obrazek"
"External id (Converters)", "Zewnętrzne ID (Konwertery)"
"Super vendor", "Sprzedawca nadrzędny"
"Customer can ask?", "Możliwość wysyłania zapytań"
"Sequence", "Kolejność"
"Vendor on main page in customized sequence", "Kolejność sprzedawcy na stronie głównej"
"Product Review Status", "PL - Product Review Status"
"Label store", "Store"
"Root categories", "Korzeń drzewa kategorii"
"Custom design", "Ustawienia wyglądu"
"Shop group" ,"Grupa sklepów"
"Category ID", "ID kategorii"
"Max shipping days", "Maksymalny czas dostarczenia"
"Number of days. Leave empty or enter negative number to use default value. (Default value is: 0 )", "Liczba dni. Pozostaw puste lub ujemne aby użyć wartości domyślnej. (Domyślnie 0)"
"Max shipping time", "Maksymalna godzina wysyłki"
"Time after which one day will be added to Max shipping days. Enter 00:00:00 to use default value. (Default value is: 00)", "Godzina po której będzie zwiększany czas dostarczenia przesyłki o jeden dzień. 00:00:00 oznacza wartość domyślną. (Domyślnie 00)"
"Allow customers review/rate vendor", "Czy klient może oceniać sprzedawcę"
"Marketing content", "Ustawienia marketingowe"
"Country", "Kraj"
"State", "Województwo"
"Billing Address", "Adres do faktury"
"Telephone", "Telefon"
"Leave empty to use default", "Pozostaw puste żeby użyć domyślnych"
"Leave empty to use shipping origin", "Pozostaw puste żeby użyć wartości z dostawy"
"RMA executive: Email", "RMA Osoba odpowiedzialna: email"
"Contact phone", "Telefon kontaktowy"
"RMA contact data: Email", "Dział RMA: Email"
"RMA contact data: Phone", "Dział RMA: Telefon"
"RMA executive: Mobile", "RMA osoba odpowiedzialna: Telefon komórkowy"
"RMA executive: Phone", "RMA osoba odpowiedzialna: Telefon"
"Integration", "Integracja"
"Stock Check Method", "Metoda sprawdzania stoku"
"Attach PO Pdf to Notifications", "Dodanie PDF z PO do powiadomień"
"Attach Packing Slip to Notifications", "Dodawanie Packing Slip do powiadomień"
"Hide shipping amount in po pdf", "Ukrywanie kosztu dostawy w PDF"
"Hide shipping amount in packingslip", "Ukrywanie kosztu dostawy w packingslip"
"Attach Shipping Label to Notifications", "Dodawanie listu przewozowego do powiadomień"
"Notify on low stock qty", "Powiadamianie o małej ilości towaru"
"New Order Carbon Copy Emails", "Adresy email ukrytej kopiii maila o nowym zamówieniu"
"Comma separated", "Oddzielane przecinkami"
"Handling Type", "PL Handling Type"
"Handling Action", "PL Handling Action"
"Allowed Countries", "Dozwolone kraje"
"Limit to zipcodes", "Ograniczenia na kody pocztowe"
"Initial PO Status", "Początkowy status PO"
"Initial Virtual PO Status", "Początkowy status wirtualnego PO"
"Initial Customer Shipment Status", "Początkowy status dostawy dla klienta"
"Default PO sort by in vendor interface", "Sposób sortowania PO w interfejsie sprzedawcy"
"Default PO sort direction in vendor interface", "Kierunek sortowania PO w interfejsie sprzedawcy"
"Default PO status filter in vendor interface", "Filtry statusów w interfejsie sprzedawcy"
"Default Shipping Method Pattern", "Domyślna metoda dostawy (wzorzec)"
"Use Vendor specific custom text on the bottom of packing slip","Użycie na packing slip zdefiniowanego tekstu sprzedawcy"
"Use Vendor specific custom text on the bottom of purchase order PDF", "Użycie w PDF zdefiniowanego tekstu sprzedawcy"
"Show totals in vendor portal order view", "Pokazanie podsumowania w widoku zamówienia dla sprzedawcy"
"Yes", "Tak"
"No", "Nie"
"Active", "Aktywny"
"Inactive", "Nieaktywny"
"Disabled", "Wyłączony"
"Vendors", "Sprzedawcy"
